room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
2855510,14598222,Private room,,4,11,5.0,2,1.0,52.0,,56.172796,10.207169,2017-01-21 11:21:36.201215
9344891,13866980,Private room,,24,0,0.0,2,1.0,42.0,,56.160912,10.209894,2017-01-21 11:21:36.196816
16541777,37203395,Private room,,5,0,0.0,2,1.0,44.0,,56.199975,10.239874,2017-01-21 11:21:36.194492
13818572,23268519,Private room,,2,5,4.5,2,1.0,52.0,,56.145955,10.184189,2017-01-21 11:21:36.192247
15770397,26320808,Private room,,24,2,0.0,1,1.0,59.0,,56.158684,10.207833,2017-01-21 11:21:36.189928
16550881,37203395,Private room,,5,0,0.0,3,1.0,44.0,,56.200225,10.240358,2017-01-21 11:21:34.656627
3485009,8637497,Private room,,4,21,4.5,1,1.0,44.0,,56.179095,10.216699,2017-01-21 11:21:34.653642
16484089,37203395,Private room,,5,0,0.0,2,1.0,44.0,,56.200274,10.239036,2017-01-21 11:21:34.651275
6702363,35083326,Private room,,24,13,4.5,2,1.0,49.0,,56.158864,10.212611,2017-01-21 11:21:34.649142
6704708,29365402,Private room,,24,1,0.0,2,1.0,44.0,,56.158721,10.188692,2017-01-21 11:21:34.646930
7711206,39642070,Private room,,24,2,0.0,2,1.0,45.0,,56.162749,10.20527,2017-01-21 11:21:34.644797
11990133,64087207,Private room,,24,0,0.0,2,1.0,59.0,,56.155766,10.20119,2017-01-21 11:21:34.642630
10262780,3901124,Private room,,24,6,4.5,2,1.0,52.0,,56.159188,10.201027,2017-01-21 11:21:34.639893
14986732,36116557,Private room,,24,0,0.0,1,1.0,44.0,,56.161565,10.210513,2017-01-21 11:21:34.634828
11162795,19609321,Private room,,4,0,0.0,2,1.0,45.0,,56.175024,10.212271,2017-01-21 11:21:34.632643
12334702,66463714,Private room,,3,8,5.0,2,1.0,44.0,,56.171749,10.182479,2017-01-21 11:21:34.627088
12951310,15077467,Private room,,24,1,0.0,2,1.0,47.0,,56.144275,10.205145,2017-01-21 11:21:34.624320
7617357,39949935,Private room,,24,9,5.0,3,1.0,44.0,,56.175107,10.220782,2017-01-21 11:21:33.247445
14174604,2204704,Private room,,24,1,0.0,2,1.0,44.0,,56.145115,10.202445,2017-01-21 11:21:33.245210
2370952,11454467,Private room,,5,13,4.5,2,1.0,44.0,,56.186317,10.21854,2017-01-21 11:21:33.237948
12187671,56812253,Private room,,4,5,4.0,14,1.0,47.0,,56.21517,10.180944,2017-01-21 11:21:33.231979
5086472,15946722,Private room,,2,0,0.0,4,1.0,54.0,,56.125798,10.19127,2017-01-21 11:21:33.229074
15429608,65071273,Private room,,4,3,5.0,2,1.0,42.0,,56.180549,10.190413,2017-01-21 11:21:33.226890
7395749,38749462,Private room,,24,66,5.0,2,1.0,53.0,,56.146541,10.191097,2017-01-21 11:21:33.224239
16721721,64519449,Private room,,24,0,0.0,2,1.0,48.0,,56.162406,10.210625,2017-01-21 11:21:33.222207
14288316,32463304,Private room,,24,2,0.0,2,1.0,47.0,,56.17225,10.21518,2017-01-21 11:21:33.220229
3198779,16211237,Private room,,24,26,5.0,2,1.0,52.0,,56.159318,10.204604,2017-01-21 11:21:33.216258
2698420,13809756,Private room,,24,5,4.5,3,1.0,44.0,,56.17236,10.218486,2017-01-21 11:21:33.212765
10144575,36133977,Private room,,24,0,0.0,2,1.0,44.0,,56.160169,10.203727,2017-01-21 11:21:32.314826
3894114,17908331,Private room,,4,26,5.0,2,1.0,45.0,,56.175062,10.193488,2017-01-21 11:21:32.312360
14526357,8230183,Private room,,11,3,5.0,2,1.0,56.0,,56.191328,10.111893,2017-01-21 11:21:32.307075
10225890,51928517,Private room,,24,0,0.0,2,1.0,44.0,,56.152205,10.2046,2017-01-21 11:21:32.302830
14727433,91688786,Private room,,9,8,4.5,2,1.0,42.0,,56.126266,10.113912,2017-01-21 11:21:32.293846
16718255,72630913,Private room,,24,0,0.0,1,1.0,55.0,,56.165371,10.227648,2017-01-21 11:21:32.291907
13181445,73716933,Private room,,24,4,5.0,2,1.0,52.0,,56.165607,10.224866,2017-01-21 11:21:32.288073
14480401,39412196,Private room,,24,7,5.0,2,1.0,55.0,,56.159958,10.201576,2017-01-21 11:21:32.282341
1261804,4617919,Private room,,24,45,4.5,2,1.0,59.0,,56.165086,10.194927,2017-01-21 11:21:30.705635
11728391,62378423,Private room,,6,6,5.0,2,1.0,59.0,,56.150065,10.150254,2017-01-21 11:21:30.702293
15184649,70440320,Private room,,24,1,0.0,2,1.0,44.0,,56.145723,10.188672,2017-01-21 11:21:30.698171
16450675,52685290,Private room,,24,2,0.0,2,1.0,59.0,,56.158029,10.203131,2017-01-21 11:21:30.695899
7043838,36936144,Private room,,24,28,4.5,2,1.0,41.0,,56.16464,10.203955,2017-01-21 11:21:30.692351
13442277,76534742,Private room,,1,4,5.0,2,1.0,52.0,,56.138041,10.197663,2017-01-21 11:21:30.687039
13137225,73198201,Private room,,6,14,4.5,4,1.0,44.0,,56.15143,10.15782,2017-01-21 11:21:30.684551
10244682,52656416,Private room,,2,7,4.5,2,1.0,59.0,,56.134528,10.185476,2017-01-21 11:21:30.675454
13892533,3616548,Private room,,24,2,0.0,1,1.0,44.0,,56.159059,10.208359,2017-01-21 11:21:30.672804
