room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
3984624,1353,11508526,Entire home/apt,,Aarhus,,24,4,4.5,3,1.0,,64.0,,Lejlighed på skønne Frederiksbjerg,2017-06-19 08:50:01.664275,56.146466,10.191836,0101000020E61000001364045438622440EBFCDB65BF124C40
10990456,1353,57025634,Entire home/apt,,Aarhus,,2,0,0.0,4,2.0,,62.0,,Stor lejlighed i Århus C.,2017-06-19 08:50:00.544670,56.141044,10.177371,0101000020E61000008484285FD05A244005A6D3BA0D124C40
8509177,1353,43155616,Entire home/apt,,Aarhus,,24,7,5.0,2,1.0,,63.0,,"Central, cosy and sweet apartment",2017-06-19 08:49:25.139490,56.145458,10.194,0101000020E610000017D9CEF7536324408578245E9E124C40
5301716,1353,27351970,Entire home/apt,,Aarhus,,2,1,0.0,3,1.0,,77.0,,Hyggelig lejlighed med soveværelse,2017-06-19 08:49:04.498732,56.143965,10.185124,0101000020E6100000CF68AB92C85E24406362F3716D124C40
3789791,1353,19452496,Entire home/apt,,Aarhus,,24,0,0.0,4,1.0,,76.0,,To altaner ved strand og skov,2017-06-19 08:49:02.819331,56.141367,10.195574,0101000020E610000054E57B4622642440E8DD585018124C40
18627401,1353,72643939,Entire home/apt,,Aarhus,,24,0,0.0,4,1.0,,77.0,,"Beautiful balcony, and a lovely central location",2017-06-19 08:47:59.236114,56.144246,10.202219,0101000020E61000007842AF3F89672440174A26A776124C40
4458244,1353,23131781,Entire home/apt,,Aarhus,,4,2,0.0,8,3.0,,70.0,,Charming cityhouse,2017-06-19 08:47:31.145860,56.192737,10.195567,0101000020E61000008A5A9A5B2164244055DD239BAB184C40
4982609,1353,25685547,Entire home/apt,,Aarhus,,24,3,5.0,3,2.0,,78.0,,soulfull flat in Aarhus,2017-06-19 08:47:31.130095,56.163608,10.211557,0101000020E6100000D17AF832516C244097AE601BF1144C40
18851683,1353,131318860,Entire home/apt,,Aarhus,,13,0,0.0,4,3.0,,77.0,,Superhygge i Lystrup,2017-06-19 08:46:01.750952,56.247196,10.241445,0101000020E6100000C190D5AD9E7B2440DCD9571EA41F4C40
18036564,1353,124071100,Entire home/apt,,Aarhus,,23,0,0.0,6,4.0,,67.0,,Spacius house perfect for families near Aarhus,2017-06-19 08:45:57.192815,56.219987,10.265112,0101000020E6100000E78D93C2BC872440C845B588281C4C40
19161326,1353,22417380,Entire home/apt,,Aarhus,,2,0,0.0,2,0.0,,77.0,,Northside - kolonihavehus,2017-06-19 08:45:28.020799,56.138446,10.145702,0101000020E610000070ECD973994A24408A213999B8114C40
13134042,1353,36445948,Entire home/apt,,Aarhus,,10,7,5.0,4,2.0,,67.0,,3 km fra Aarhus C - god plads til 4 personer,2017-06-19 08:45:25.101065,56.151357,10.128927,0101000020E61000008D2441B802422440A5828AAA5F134C40
18574985,1353,128968390,Entire home/apt,,Aarhus,,3,3,4.5,2,1.0,,63.0,,Lys 2-værelses lejlighed nær Botanisk Have,2017-06-19 08:45:15.065439,56.166215,10.175168,0101000020E6100000889CBE9EAF592440658D7A8846154C40
